Specimen No;genus;species;coloniality;growth form ;corallite integration;mean corallite diameter [mm];colony height [mm];colony width [mm];number of incisions;length of incisions [mm] top;length of incisions [mm] bottom;width of incisons [mm] top ;width of incisions [mm] bottom;distance to next incision [mm];incisions on top ;incisions on bottom;bioerosion;
KCo2-11;Collignonastraea ;jumarensis;colony;umbrella-shaped;thamnasteroid;5.4;9.62;23.09;0;;;;;;;;;
KCo2-12;Microsotena ;amorpha;colony;conical;thamnasteroid;2.9;13.01;36.24;0;;;;;;;;serpulids;
KCo2-13;Monilivaltia;frustriformis;solitary;subturbinate;solitary;18.75;9.15;18.75;0;;;;;;;;;
KCo2-14;Protethmos;blanfordi;solitary;patellate;solitary;14;8.52;14;0;;;;;;;;;
KCo2-15;Protethmos;blanfordi;solitary;patellate;solitary;16.06;10.75;16.06;0;;;;;;;;;
KCo2-16;Protethmos;blanfordi;solitary;patellate;solitary;15.12;10;15.12;0;;;;;;;;;
KCo3-1;Protethmos;blanfordi;solitary;patellate;solitary;12.55;7;12.55;0;;;;;;;;;
KCo3-2;Trocharea ;patelliformis;solitary;subpatellate;solitary;11.7;6.14;11.7;0;;;;;;;;;
KCo3-3;Protethmos;blanfordi;solitary;trochoid;solitary;12.05;11.7;12.05;0;;;;;;;;;
KCo3-4;Trochoplegma ;tenuilamellosa;solitary;pedunculate;solitary;11.48;5.13;11.48;0;;;;;;;;;
KCo3-5;Protethmos;blanfordi;solitary;trochoid;solitary;9.14;12.53;9.14;0;;;;;;;;;
KCo3-6;Protethmos;blanfordi;solitary;trochoid;solitary;14.65;17.56;14.65;0;;;;;;;;;
KCo3-7;Lophosmilia ;tenuicaulata;solitary;trochoid;solitary;11.47;14.99;11.47;0;;;;;;;;;
KCo3-8;Monilivaltia;cornutiformis;solitary;subpatellate;solitary;16.87;10.25;16.87;0;;;;;;;;;
KCo3-9;Protethmos;blanfordi;solitary;trochoid;solitary;12.96;13.24;12.96;0;;;;;;;;;
KCo3-10;Lophosmilia ;tenuicaulata;solitary;trochoid;solitary;13.16;18.19;13.16;0;;;;;;;;;
KCo3-11;Protethmos;blanfordi;solitary;patellate;solitary;12.37;8.4;12.37;0;;;;;;;;;
KCo3-12;Protethmos;blanfordi;solitary;patellate;solitary;11.86;8.85;11.86;0;;;;;;;;;
KCo3-13;Rhabdocora;sp.;colony;branching;phaceloid;7.59;17.53;13.25;0;;;;;;;;;
KCo3-14;?;?;colony;globose;thamnasteroid;2.31;12.26;11.18;0;;;;;;;;;
KCo3-15;Protethmos;blanfordi;solitary;patellate;solitary;10.73;5.67;10.73;0;;;;;;;;;
KCo3-16;Protethmos;blanfordi;solitary;trochoid;solitary;11.44;11.32;11.44;0;;;;;;;;;
KCo3-17;Protethmos;blanfordi;solitary;patellate;solitary;11.16;10.86;11.16;0;;;;;;;;;
KCo3-18;Rhabdocora;sp.;colony;branching;phaceloid;3.12;9.17;7.32;0;;;;;;;;;
KCo3-19;Monilivaltia;frustriformis;solitary;trochoid;solitary;16.36;14.17;16.36;0;;;;;;;;;
KCo3-20;Stibastraea ;structa;colony;cup-shaped;thamnasteroid;2.53;13.6;16.26;0;;;;;;;;;
KCo4-1;Collignonastraea ;jumarensis;colony;umbrella-shaped;thamnasteroid;4.18;6.22;13.46;0;;;;;;;;;
KCo4-2;Gregorycoenia ;magna;colony;conical;cerioid;9.27;10.4;17.91;0;;;;;;;;;
KCo4-3;Collignonastraea ;jumarensis;colony;conical;thamnasteroid;3.9;7.53;20.65;0;;;;;;;;;
KCo4-4;Collignonastraea ;jumarensis;colony;flat;thamnasteroid;4.08;6.3;19.09;0;;;;;;;;;
KCo4-5;Rhabdocora;sp.;colony;branching;phaceloid;6.48;21.45;12.78;0;;;;;;;;;
KCo4-6;Rhabdocora;sp.;colony;branching;phaceloid;4.67;30.32;9.86;0;;;;;;;;;
KCo4-7;Collignonastraea ;jumarensis;colony;wedge-shaped;cerioid;3.97;10.43;16.22;0;;;;;;;;;
KCo4-8;Protethmos;blanfordi;solitary;turbinate;solitary;13.95;12.87;13.95;0;;;;;;;;;
KCo4-9;Collignonastraea ;jumarensis;colony;umbrella-shaped;thamnasteroid;4.29;5.46;13.63;0;;;;;;;;;
KCo4-10;Collignonastraea ;jumarensis;colony;wedge-shaped;thamnasteroid;5.08;9.07;18.24;0;;;;;;;;;
KCo4-11;Rhabdocora;sp.;colony;branching;phaceloid;7.55;22.94;7.69;0;;;;;;;;;
KCo4-12;Collignonastraea ;jumarensis;colony;flat;thamnasteroid;5.27;5.66;13.72;0;;;;;;;;;
KCo4-14;Kobya;crassolamellosa;colony;cup-shaped;thamnasteroid;4.14;9.11;10.6;0;;;;;;;;;
KCo4-15;Rhabdocora;sp.;colony;branching;phaceloid;4.01;10.38;8.02;0;;;;;;;;;
KCo4-16;Collignonastraea ;jumarensis;colony;flat;thamnasteroid;3.2;9.41;21.33;0;;;;;;;;;
KCo4-17;?;?;colony;conical;phaceloid;12.43;12.97;21.06;0;;;;;;;;;
KCo4-18;Gregorycoenia ;magna;colony;wedge-shaped;cerioid;7.08;16.46;20.14;0;;;;;;;;;
KCo4-19;?Tricycloseris;?triangularis;colony;umbrella-shaped;?;?;8.17;24.25;6;;;;;;3;3;;
KCo4-19;?Tricycloseris;?triangularis;;umbrella-shaped;?;?;8.17;24.25;2;10.65;8.45;3.67;2.75;22.65;1;1;;
KCo4-19;?Tricycloseris;?triangularis;;umbrella-shaped;?;?;8.17;24.25;2;7.02;8.05;3.93;2.85;13.77;1;1;;
KCo4-19;?Tricycloseris;?triangularis;;umbrella-shaped;?;?;8.17;24.25;2;8.92;7.68;5.05;2.66;16.82;1;1;;
KCo4-20;Amphiastraea ;piriformis;colony;flat;cerioid;1.23;5.53;24.45;0;;;;;;;;;
KCo4-21;?Craterastraea;?crateriformis;colony;umbrella-shaped;thamnasteroid;4.03;13.71;26.85;10;;;;;;5;5;;
KCo4-21;?Craterastraea;?crateriformis;;umbrella-shaped;thamnasteroid;4.03;13.71;26.85;2;17.46;2.08;2.12;1.77;6.37;1;1;;
KCo4-21;?Craterastraea;?crateriformis;;umbrella-shaped;thamnasteroid;4.03;13.71;26.85;2;4.35;11;2.63;3.81;10.26;1;1;;
KCo4-21;?Craterastraea;?crateriformis;;umbrella-shaped;thamnasteroid;4.03;13.71;26.85;2;8.48;11.03;3.13;1.37;8.61;1;1;;
KCo4-21;?Craterastraea;?crateriformis;;umbrella-shaped;thamnasteroid;4.03;13.71;26.85;2;12.82;9.89;1.35;2.41;11.33;1;1;;
KCo4-21;?Craterastraea;?crateriformis;;umbrella-shaped;thamnasteroid;4.03;13.71;26.85;2;6.53;6.93;1.93;2.23;17.28;1;1;;
KCo4-22;Gregorycoenia ;magna;colony;conical;cerioid;4.97;16.34;18.58;0;;;;;;;;;
KCo4-23;Rhabdocora;sp.;colony;branching;phaceloid;5.9;23.79;10.48;0;;;;;;;;;
KCo4-24;Stvlina ;kachensis;colony;globose;plocoid;2.6;14.29;27.67;0;;;;;;;;;
KCo4-25;Dimorpharaea;stellans;colony;pedunculate;thamnasteroid;1.68;12.12;22.54;10;;;;;;5;5;4;
KCo4-25;Dimorpharaea;stellans;;pedunculate;thamnasteroid;1.68;12.12;22.54;2;7.67;11.37;1.8;1.73;5.75;1;1;;
KCo4-25;Dimorpharaea;stellans;;pedunculate;thamnasteroid;1.68;12.12;22.54;2;1.29;2.69;2.53;1.64;7.3;1;1;;
KCo4-25;Dimorpharaea;stellans;;pedunculate;thamnasteroid;1.68;12.12;22.54;2;3.62;9.1;1.94;2.54;5.35;1;1;;
KCo4-25;Dimorpharaea;stellans;;pedunculate;thamnasteroid;1.68;12.12;22.54;2;6.08;9.35;1.96;1.93;18.28;1;1;;
KCo4-25;Dimorpharaea;stellans;;pedunculate;thamnasteroid;1.68;12.12;22.54;2;4.53;7.97;1.55;1.71;27.4;1;1;;
KCo4-26;Collignonastraea ;jumarensis;colony;pedunculate;thamnasteroid;3.66;10.63;32.2;0;;;;;;;;;
KCo4-27;Dimorpharaea;stellans;colony;pedunculate;thamnasteroid;2.12;10.86;22.79;18;;;;;;9;9;;
KCo4-27;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.12;10.86;22.79;2;9.47;9.67;2.59;2.33;11.13;1;1;;
KCo4-27;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.12;10.86;22.79;2;2.11;1.97;1.45;1.52;5.87;1;1;;
